pick,team,player,acquired_from,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,win_pct
1,Orlando Magic,Paolo Banchero,,27.0,23.3,22.0,60.0,21,61,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,,0.503,13.0,19.8,0.175,0.532,11.7,77.2,0.196,0.2682926829268293
2,Oklahoma City Thunder,Chet Holmgren,,28.0,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,0.2926829268292683
3,Houston Rockets,Jabari Smith Jr.,,29.0,24.1,20.0,62.0,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,0.24390243902439024
4,Sacramento Kings,Keegan Murray,,25.0,25.8,30.0,52.0,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,,0.525,12.5,21.3,0.203,0.551,11.9,76.0,0.176,0.36585365853658536
5,Detroit Pistons,Jaden Ivey,,26.0,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,0.2804878048780488
6,Indiana Pacers,Bennedict Mathurin,,24.0,26.0,25.0,57.0,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,0.3048780487804878
7,Portland Trail Blazers,Shaedon Sharpe,,30.0,25.6,27.0,55.0,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,,0.515,13.0,22.9,0.188,0.559,12.7,76.9,0.222,0.32926829268292684
8,New Orleans Pelicans,Dyson Daniels,Los Angeles Lakers,21.0,25.6,36.0,46.0,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,,0.517,12.5,26.9,0.208,0.547,13.0,78.2,0.196,0.43902439024390244
9,San Antonio Spurs,Jeremy Sochan,,17.0,24.5,34.0,48.0,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,0.4146341463414634
10,Washington Wizards,Johnny Davis,,23.0,25.9,35.0,47.0,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,0.4268292682926829
11,Oklahoma City Thunder,Ousmane Dieng,New York Knicks,28.0,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,0.2926829268292683
12,Oklahoma City Thunder,Jalen Williams,Los Angeles Clippers,28.0,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,0.2926829268292683
13,Detroit Pistons,Jalen Duren,Charlotte Hornets,26.0,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,0.2804878048780488
14,Cleveland Cavaliers,Ochai Agbaji,,13.0,24.7,44.0,38.0,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,,0.538,13.2,24.0,0.198,0.52,12.3,76.5,0.172,0.5365853658536586
